perm,fitness
"[0, 1, 2, 3, 4, 5]",0.767577
"[0, 1, 2, 3, 5, 4]",0.795086
"[0, 1, 2, 4, 3, 5]",0.767577
"[0, 1, 2, 4, 5, 3]",0.874303
"[0, 1, 2, 5, 3, 4]",0.923617
"[0, 1, 2, 5, 4, 3]",0.922107
"[0, 1, 3, 2, 4, 5]",0.767577
"[0, 1, 3, 2, 5, 4]",0.795086
"[0, 1, 3, 4, 2, 5]",0.775654
"[0, 1, 3, 4, 5, 2]",0.99644
"[0, 1, 3, 5, 2, 4]",0.996488
"[0, 1, 3, 5, 4, 2]",0.996541
"[0, 1, 4, 2, 3, 5]",0.775654
"[0, 1, 4, 2, 5, 3]",0.822311
"[0, 1, 4, 3, 2, 5]",0.775654
"[0, 1, 4, 3, 5, 2]",0.99644
"[0, 1, 4, 5, 2, 3]",0.99644
"[0, 1, 4, 5, 3, 2]",0.99644
"[0, 1, 5, 2, 3, 4]",0.996488
"[0, 1, 5, 2, 4, 3]",0.996488
"[0, 1, 5, 3, 2, 4]",0.996551
"[0, 1, 5, 3, 4, 2]",0.996709
"[0, 1, 5, 4, 2, 3]",0.996541
"[0, 1, 5, 4, 3, 2]",0.996701
"[0, 2, 1, 3, 4, 5]",0.769336
"[0, 2, 1, 3, 5, 4]",0.776924
"[0, 2, 1, 4, 3, 5]",0.769336
"[0, 2, 1, 4, 5, 3]",0.871526
"[0, 2, 1, 5, 3, 4]",0.901729
"[0, 2, 1, 5, 4, 3]",0.90084
"[0, 2, 3, 1, 4, 5]",0.769336
"[0, 2, 3, 1, 5, 4]",0.776924
"[0, 2, 3, 4, 1, 5]",0.76851
"[0, 2, 3, 4, 5, 1]",0.770436
"[0, 2, 3, 5, 1, 4]",0.794228
"[0, 2, 3, 5, 4, 1]",0.793021
"[0, 2, 4, 1, 3, 5]",0.76851
"[0, 2, 4, 1, 5, 3]",0.846632
"[0, 2, 4, 3, 1, 5]",0.76851
"[0, 2, 4, 3, 5, 1]",0.770436
"[0, 2, 4, 5, 1, 3]",0.875633
"[0, 2, 4, 5, 3, 1]",0.875463
"[0, 2, 5, 1, 3, 4]",0.91909
"[0, 2, 5, 1, 4, 3]",0.917714
"[0, 2, 5, 3, 1, 4]",0.918673
"[0, 2, 5, 3, 4, 1]",0.914751
"[0, 2, 5, 4, 1, 3]",0.913792
"[0, 2, 5, 4, 3, 1]",0.913341
"[0, 3, 1, 2, 4, 5]",0.767577
"[0, 3, 1, 2, 5, 4]",0.795086
"[0, 3, 1, 4, 2, 5]",0.775654
"[0, 3, 1, 4, 5, 2]",0.99644
"[0, 3, 1, 5, 2, 4]",0.996488
"[0, 3, 1, 5, 4, 2]",0.996541
"[0, 3, 2, 1, 4, 5]",0.769336
"[0, 3, 2, 1, 5, 4]",0.776924
"[0, 3, 2, 4, 1, 5]",0.76851
"[0, 3, 2, 4, 5, 1]",0.770436
"[0, 3, 2, 5, 1, 4]",0.794228
"[0, 3, 2, 5, 4, 1]",0.793021
"[0, 3, 4, 1, 2, 5]",0.775628
"[0, 3, 4, 1, 5, 2]",0.997994
"[0, 3, 4, 2, 1, 5]",0.774217
"[0, 3, 4, 2, 5, 1]",0.779071
"[0, 3, 4, 5, 1, 2]",0.994446
"[0, 3, 4, 5, 2, 1]",0.998803
"[0, 3, 5, 1, 2, 4]",0.891027
"[0, 3, 5, 1, 4, 2]",0.888082
"[0, 3, 5, 2, 1, 4]",0.995817
"[0, 3, 5, 2, 4, 1]",0.99127
"[0, 3, 5, 4, 1, 2]",0.909654
"[0, 3, 5, 4, 2, 1]",0.996352
"[0, 4, 1, 2, 3, 5]",0.775628
"[0, 4, 1, 2, 5, 3]",0.822138
"[0, 4, 1, 3, 2, 5]",0.775628
"[0, 4, 1, 3, 5, 2]",0.997994
"[0, 4, 1, 5, 2, 3]",0.997994
"[0, 4, 1, 5, 3, 2]",0.997994
"[0, 4, 2, 1, 3, 5]",0.774217
"[0, 4, 2, 1, 5, 3]",0.819163
"[0, 4, 2, 3, 1, 5]",0.774217
"[0, 4, 2, 3, 5, 1]",0.779071
"[0, 4, 2, 5, 1, 3]",0.822188
